Loan_ID,Age,Employment_Type,Annual_Income,Loan_Amount,Loan_Tenure_Years,Credit_Score,Existing_Loans,EMI,Loan_Purpose,Default_Status
50001,39,Salaried,1271908,1411325,20,877,4,23477,Home,No Default
50002,35,Salaried,625053,987094,25,357,1,56673,Home,No Default
50003,50,Salaried,1071238,668652,4,416,0,48381,Home,No Default
50004,57,Salaried,1642811,204168,20,724,4,61140,Home,No Default
50005,32,Self-Employed,183417,144984,20,320,1,75338,Home,Default
50006,39,Salaried,603658,355405,16,378,3,14872,Business,Default
50007,54,Salaried,865588,1343294,2,858,4,78252,Personal,No Default
50008,27,Salaried,588253,1175562,13,895,1,53536,Home,No Default
50009,48,Salaried,1266102,1326776,8,407,2,30107,Home,Default
50010,48,Salaried,1400372,106698,13,570,4,12552,Home,No Default
50011,49,Self-Employed,793194,810006,20,775,1,15465,Business,No Default
50012,57,Salaried,985225,1023994,21,369,2,7920,Business,No Default
50013,40,Unemployed,1437719,635733,8,686,2,43568,Personal,No Default
50014,31,Salaried,1843078,1184445,4,465,0,57075,Home,No Default
50015,59,Salaried,1117743,1312847,5,357,1,7468,Personal,Default
50016,62,Self-Employed,1380701,301758,21,750,0,29217,Education,No Default
50017,43,Self-Employed,734080,1279620,6,544,0,42464,Business,No Default
50018,40,Salaried,358522,1239183,23,344,3,45307,Home,Default
50019,40,Unemployed,361696,1006391,19,682,0,70275,Business,No Default
50020,31,Salaried,1008932,68679,10,877,0,55975,Personal,Default
50021,22,Self-Employed,1539405,1065514,27,370,3,72596,Education,No Default
50022,33,Salaried,486623,688979,3,847,3,58192,Home,No Default
50023,33,Self-Employed,455537,1187477,13,538,4,59554,Business,Default
50024,61,Salaried,1516488,1229678,9,879,0,12662,Education,Default
50025,35,Salaried,812289,1481360,17,407,2,76221,Personal,No Default
50026,51,Self-Employed,1178443,633284,10,507,3,19401,Personal,Default
50027,43,Salaried,1274616,975636,12,601,1,5490,Business,Default
50028,42,Salaried,996873,292372,13,729,4,70350,Business,Default
50029,36,Salaried,223105,1181381,24,647,4,44949,Home,No Default
50030,62,Self-Employed,106286,1155220,10,406,0,78094,Personal,No Default
50031,49,Self-Employed,781650,960512,19,827,2,28232,Home,No Default
50032,40,Self-Employed,235221,1224814,21,705,3,54216,Business,No Default
50033,48,Self-Employed,290659,404235,19,555,1,43594,Education,No Default
50034,47,Salaried,204152,595515,26,600,0,20617,Home,No Default
50035,64,Salaried,1254536,938774,17,444,2,27552,Personal,No Default
50036,49,Salaried,1667564,1190814,26,823,0,28640,Business,Default
50037,25,Salaried,692169,1248322,5,861,0,19697,Business,No Default
50038,62,Salaried,1301581,578884,8,659,4,14541,Home,No Default
50039,58,Salaried,1777848,590876,5,823,1,19354,Home,No Default
50040,58,Salaried,1353954,551195,15,783,1,39474,Business,No Default
50041,64,Self-Employed,1428802,366798,4,489,1,51057,Home,No Default
50042,22,Salaried,1521811,536098,25,595,1,44439,Business,Default
50043,40,Self-Employed,1683727,1373173,13,392,3,11362,Personal,Default
50044,63,Self-Employed,893416,1420272,17,429,3,15171,Education,No Default
50045,33,Self-Employed,1013613,664405,5,783,1,70721,Home,No Default
50046,46,Unemployed,1203765,418268,1,708,2,74800,Personal,No Default
50047,55,Salaried,1765903,1031196,22,640,3,27975,Personal,No Default
50048,28,Salaried,1841960,860956,15,513,3,63945,Home,No Default
50049,48,Self-Employed,1253431,868275,10,629,2,55596,Personal,No Default
50050,61,Salaried,149430,113140,25,474,1,41218,Business,No Default
50051,35,Self-Employed,751940,1204896,11,743,0,18582,Home,No Default
50052,28,Salaried,1550924,1049650,18,500,3,3147,Education,Default
50053,31,Salaried,1183662,999528,29,397,0,56428,Business,No Default
50054,49,Salaried,596056,1243678,13,402,0,72242,Personal,No Default
50055,25,Unemployed,727939,562470,20,852,2,6035,Personal,No Default
50056,27,Self-Employed,1425182,992976,24,450,1,51008,Education,No Default
50057,38,Self-Employed,1063853,911480,16,567,0,28858,Education,No Default
50058,48,Self-Employed,908755,200117,19,651,1,77453,Personal,No Default
50059,32,Salaried,118167,339279,23,766,4,27893,Education,No Default
50060,32,Salaried,1158643,900705,12,577,1,71504,Education,No Default
50061,56,Self-Employed,1859718,1460688,23,867,2,78817,Personal,No Default
50062,49,Salaried,948419,231749,14,315,2,39822,Business,No Default
50063,31,Salaried,1676090,1053174,2,755,4,48253,Home,No Default
